"","Wk","Date","Home","Away","Result","aveHomeGoals","aveAgainstHomeGoals","aveAwayGoals","aveAgainstAwayGoals","aveHomePoints","aveAwayPoints","HomeAveMin","HomeAveGls","HomeAveAst","HomeAveSh","HomeAveSoT","HomeAveFls","HomeAveFld","HomeAveCrs","HomeAveTkl","HomeAveInt","HomeAveCrdY","HomeAveCrdR","HomeAveGA","HomeAveSaves","HomeAveSave.","AwayAveMin","AwayAveGls","AwayAveAst","AwayAveSh","AwayAveSoT","AwayAveFls","AwayAveFld","AwayAveCrs","AwayAveTkl","AwayAveInt","AwayAveCrdY","AwayAveCrdR","AwayAveGA","AwayAveSaves","AwayAveSave."
"37",4,2019-08-31,"Crystal Palace","Aston Villa","H",0.4,0.4,0.8,0.8,0.8,0.6,71.1176470588235,0.0490196078431373,0.0294117647058824,0.441176470588235,0.215686274509804,1.04901960784314,0.823529411764706,0.705882352941176,1.07843137254902,0.931372549019608,0.196078431372549,0,0.0392156862745098,0.117647058823529,4.57647058823529,69.8333333333333,0.0833333333333333,0.0833333333333333,0.791666666666667,0.291666666666667,0.645833333333333,1.02083333333333,1.125,0.625,0.958333333333333,0.0833333333333333,0,0.104166666666667,0.125,4.16666666666667
"38",4,2019-08-31,"Burnley","Liverpool","A",1,0.6,1.8,1.8,0.8,1.8,70.9047619047619,0.119047619047619,0.0714285714285714,0.976190476190476,0.30952380952381,0.666666666666667,0.738095238095238,1.47619047619048,0.714285714285714,0.738095238095238,0.0714285714285714,0,0.0714285714285714,0.285714285714286,5.82142857142857,67.0490196078431,0.176470588235294,0.137254901960784,1.12745098039216,0.372549019607843,0.529411764705882,0.470588235294118,1.68627450980392,0.764705882352941,0.715686274509804,0.0392156862745098,0,0.0588235294117647,0.254901960784314,9.96862745098039
"39",4,2019-09-01,"Everton","Wolverhampton Wanderer","H",0.2,0.4,0.4,0.4,0.8,0.6,63.5,0.0196078431372549,0.0196078431372549,0.764705882352941,0.156862745098039,0.941176470588235,0.852941176470588,1.09803921568627,0.784313725490196,0.647058823529412,0.176470588235294,0.0294117647058824,0.0392156862745098,0.0980392156862745,4.57450980392157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",4,2019-09-01,"Arsenal","Tottenham Hotspur","D",0.8,0.8,1,1,1.2,0.8,65.5555555555556,0.0925925925925926,0.0555555555555556,0.712962962962963,0.305555555555556,0.592592592592593,0.62962962962963,0.842592592592593,0.388888888888889,0.472222222222222,0.157407407407407,0,0.0740740740740741,0.12962962962963,3.98148148148148,64.0098039215686,0.107843137254902,0.0882352941176471,1.34313725490196,0.303921568627451,0.588235294117647,0.588235294117647,1.80392156862745,0.558823529411765,0.362745098039216,0.0588235294117647,0,0.0784313725490196,0.254901960784314,4.34705882352941
"41",5,2019-09-14,"Liverpool","Newcastle United","H",2.4,0.6,0.6,0.6,2.4,0.8,63.4351851851852,0.148148148148148,0.12962962962963,1.06018518518519,0.365740740740741,0.643518518518518,0.481481481481481,1.43518518518519,0.643518518518518,0.625,0.0277777777777778,0,0.0416666666666667,0.236111111111111,9.83888888888889,68.7361111111111,0.0555555555555556,0.0555555555555556,0.662037037037037,0.226851851851852,0.555555555555556,0.662037037037037,1.40277777777778,0.736111111111111,0.763888888888889,0.115740740740741,0,0.0694444444444444,0.152777777777778,3.99305555555556
"42",5,2019-09-14,"Brighton and Hove Albion","Burnley","D",0.8,1.4,1,1,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.2857142857143,0.0952380952380952,0.0535714285714286,0.875,0.273809523809524,0.68452380952381,0.827380952380952,1.42857142857143,0.732142857142857,0.791666666666667,0.0535714285714286,0,0.107142857142857,0.303571428571429,5.48214285714286
"43",5,2019-09-14,"Sheffield United","Southampton","A",1,1,0.8,0.8,1,0.8,58.5138888888889,0.0694444444444444,0.0277777777777778,0.611111111111111,0.166666666666667,0.875,0.472222222222222,1.23611111111111,0.680555555555556,0.916666666666667,0.0972222222222222,0,0.0694444444444444,0.125,3.14861111111111,66.0625,0.0666666666666667,0.0541666666666667,0.7,0.191666666666667,0.883333333333333,0.3875,1.0625,0.675,0.620833333333333,0.154166666666667,0.025,0.075,0.1875,3.49
"44",5,2019-09-14,"Wolverhampton Wanderer","Chelsea","A",0.8,1,1.2,1.2,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.7236842105263,0.0789473684210526,0.0394736842105263,1.03947368421053,0.368421052631579,0.609649122807018,0.798245614035088,1.03947368421053,0.68859649122807,0.767543859649123,0.0921052631578947,0,0.118421052631579,0.105263157894737,2.58815789473684
"45",5,2019-09-14,"Manchester United","Leicester City","H",1.4,0.8,1.2,1.2,1,1.6,68.453125,0.119791666666667,0.104166666666667,1.17708333333333,0.302083333333333,0.666666666666667,1.11458333333333,1.52604166666667,0.65625,0.572916666666667,0.161458333333333,0,0.0625,0.15625,3.6453125,64.4259259259259,0.0925925925925926,0.0972222222222222,0.824074074074074,0.175925925925926,0.546296296296296,0.638888888888889,1.13888888888889,0.810185185185185,0.75,0.0185185185185185,0,0.0416666666666667,0.125,4.12083333333333
"46",5,2019-09-14,"Tottenham Hotspur","Crystal Palace","H",1.4,1.2,0.6,0.6,1,1.4,63.7850877192982,0.109649122807018,0.0701754385964912,1.10087719298246,0.337719298245614,0.675438596491228,0.649122807017544,1.40789473684211,0.508771929824561,0.381578947368421,0.105263157894737,0,0.0789473684210526,0.25,3.90394736842105,67.5185185185185,0.0509259259259259,0.0185185185185185,0.75,0.24537037037037,1.01388888888889,0.824074074074074,0.990740740740741,0.944444444444444,0.773148148148148,0.180555555555556,0,0.0277777777777778,0.111111111111111,4.63055555555556
"47",5,2019-09-14,"Norwich City","Manchester City","H",1.2,2,2.8,2.8,0.6,2,56.1,0.075,0.0625,0.583333333333333,0.266666666666667,0.5125,0.545833333333333,0.4875,0.495833333333333,0.483333333333333,0.0625,0,0.125,0.2,3.1325,64.7083333333333,0.212962962962963,0.180555555555556,1.23148148148148,0.458333333333333,0.837962962962963,0.393518518518518,0.884259259259259,0.699074074074074,0.634259259259259,0.101851851851852,0,0.0416666666666667,0.138888888888889,3.96805555555556
"48",5,2019-09-15,"Bournemouth","Everton","H",1,1.6,0.8,0.8,0.8,1.4,72.1145833333333,0.09375,0.015625,0.770833333333333,0.270833333333333,0.661458333333333,0.828125,1.296875,0.838541666666667,1.16145833333333,0.125,0,0.125,0.1875,3.63125,65.875,0.0694444444444444,0.0555555555555556,0.75,0.194444444444444,0.972222222222222,0.875,1.16666666666667,0.930555555555556,0.75,0.194444444444444,0.0277777777777778,0.0555555555555556,0.111111111111111,4.07361111111111
"49",5,2019-09-15,"Watford","Arsenal","D",0.4,1.6,1.2,1.2,0.2,1.4,64.8125,0.025,0.0125,0.916666666666667,0.183333333333333,0.820833333333333,0.666666666666667,1.20833333333333,0.683333333333333,0.708333333333333,0.104166666666667,0,0.1,0.1625,2.8125,68.6157407407407,0.0972222222222222,0.0694444444444444,0.958333333333333,0.356481481481482,0.708333333333333,0.75462962962963,1.07407407407407,0.5,0.523148148148148,0.166666666666667,0,0.0833333333333333,0.194444444444444,4.06666666666667
"50",5,2019-09-16,"Aston Villa","West Ham United","D",0.8,1.2,1.2,1.2,0.6,1.4,65.0245098039216,0.0637254901960784,0.0588235294117647,0.754901960784314,0.25,0.784313725490196,0.941176470588235,1.17647058823529,0.647058823529412,0.901960784313726,0.147058823529412,0.0147058823529412,0.0882352941176471,0.147058823529412,4.11764705882353,70.6666666666667,0.12280701754386,0.0482456140350877,0.798245614035088,0.425438596491228,0.780701754385965,0.828947368421053,0.925438596491228,0.925438596491228,0.662280701754386,0.149122807017544,0,0.0921052631578947,0.157894736842105,3.76447368421053
"51",6,2019-09-20,"Southampton","Bournemouth","A",1,1.2,1.6,1.6,1.4,1.4,67.3091666666667,0.07,0.06,0.718333333333333,0.241666666666667,0.794166666666667,0.448333333333333,1.02666666666667,0.661666666666667,0.621666666666667,0.135833333333333,0.025,0.06,0.19,3.792,71.5833333333333,0.0972222222222222,0.05,0.677777777777778,0.261111111111111,0.575,0.813888888888889,1.075,0.841666666666667,1.08333333333333,0.0916666666666667,0,0.1,0.177777777777778,3.47111111111111
"52",6,2019-09-21,"Leicester City","Tottenham Hotspur","H",1.2,0.8,2.2,2.2,1.6,1.6,64.662037037037,0.0722222222222222,0.0740740740740741,0.785185185185185,0.176851851851852,0.64537037037037,0.719444444444444,1.26666666666667,0.899074074074074,0.730555555555556,0.0481481481481481,0,0.0444444444444444,0.144444444444444,4.18555555555556,63.7541666666667,0.1225,0.119166666666667,1.00583333333333,0.310833333333333,0.778333333333333,0.7075,1.38583333333333,0.520833333333333,0.5375,0.1375,0,0.06,0.25,3.967
"53",6,2019-09-21,"Burnley","Norwich City","H",1.2,1.4,1.8,1.8,1,1.2,69.3666666666667,0.108888888888889,0.106666666666667,0.78,0.242222222222222,0.608888888888889,0.795555555555556,1.38666666666667,0.733333333333333,0.755555555555556,0.0666666666666667,0,0.0933333333333333,0.28,5.16,61.955,0.0925,0.08,0.585,0.249166666666667,0.543333333333333,0.570833333333333,0.4725,0.619166666666667,0.725,0.105,0,0.12,0.22,3.256
"54",6,2019-09-21,"Everton","Sheffield United","A",1,1.4,1,1,1.4,1,65.8916666666667,0.062962962962963,0.0555555555555556,0.769444444444444,0.218518518518519,0.985185185185185,0.815740740740741,1.18333333333333,0.950925925925926,0.685185185185185,0.205555555555556,0.0185185185185185,0.0777777777777778,0.122222222222222,3.81444444444444,58.9481481481481,0.0518518518518519,0.0222222222222222,0.757407407407407,0.181481481481481,0.837037037037037,0.469444444444444,1.43703703703704,0.692592592592593,0.85462962962963,0.0953703703703704,0.0185185185185185,0.0666666666666667,0.166666666666667,3.47111111111111
"55",6,2019-09-21,"Manchester City","Watford","H",3.2,1.2,0.8,0.8,2,0.4,64.2638888888889,0.187962962962963,0.176851851851852,1.26666666666667,0.461111111111111,0.749074074074074,0.434259259259259,1.24722222222222,0.630555555555556,0.624074074074074,0.0972222222222222,0,0.0666666666666667,0.111111111111111,3.17444444444444,63.2,0.045,0.02,1.1175,0.2725,0.825,0.5825,1.2125,0.65,0.64,0.1175,0,0.1,0.15,2.75
"56",6,2019-09-21,"Newcastle United","Brighton and Hove Albion","D",0.8,1.6,1,1,0.8,1,68.9888888888889,0.0592592592592593,0.062037037037037,0.650925925925926,0.207407407407407,0.523148148148148,0.600925925925926,1.2287037037037,0.741666666666667,0.765740740740741,0.0990740740740741,0,0.0888888888888889,0.177777777777778,3.88888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",6,2019-09-22,"Crystal Palace","Wolverhampton Wanderer","D",0.6,1.2,1.2,1.2,1.4,0.6,66.7271929824561,0.0368421052631579,0.0131578947368421,0.696491228070175,0.258771929824561,0.92719298245614,0.839473684210526,0.866666666666667,0.856140350877193,0.897368421052632,0.165789473684211,0,0.0631578947368421,0.105263157894737,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",6,2019-09-22,"West Ham United","Manchester United","H",1.2,1.4,1.6,1.6,1.6,1.6,65.7116666666667,0.0916666666666667,0.035,0.781666666666667,0.354166666666667,0.705833333333333,0.848333333333333,1.04,0.84,0.583333333333333,0.140833333333333,0.0125,0.07,0.17,3.861,62.7026315789474,0.0982456140350877,0.0780701754385965,0.923684210526316,0.276315789473684,0.683333333333333,0.935087719298246,1.13859649122807,0.642982456140351,0.525438596491228,0.121929824561404,0,0.0421052631578947,0.136842105263158,3.50842105263158
